Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 23 Aug 1996 (34),Espinho (1),1-3,?,Sporting CP (1)
?,(Sat) 24 Aug 1996 (34),Os Belenenses (1),2-4,?,Boavista FC (1)
?,(Sun) 25 Aug 1996 (34),SL Benfica (1),1-1,?,SC Braga (1)
?,(Sun) 25 Aug 1996 (34),Vitória de Guimarães (1),4-2,?,Gil Vicente FC (1)
?,(Sun) 25 Aug 1996 (34),FC Porto (1),2-2,?,Vitória de Setúbal (1)
?,(Sun) 1 Sep 1996 (35),SC Farense (1),1-0,?,CF Estrela da Amadora (1)
?,(Sun) 1 Sep 1996 (35),Leça FC (1),3-0,?,União de Leiria (1)
?,(Sun) 1 Sep 1996 (35),CS Marítimo (1),3-3,?,Desportivo de Chaves (1)
?,(Sun) 1 Sep 1996 (35),Rio Ave FC (1),1-1,?,SC Salgueiros (1)
?,(Fri) 6 Sep 1996 (36),Sporting CP (2),0-0,?,SC Farense (2)
?,(Sat) 7 Sep 1996 (36),Boavista FC (2),0-2,?,Espinho (2)
?,(Sat) 7 Sep 1996 (36),Gil Vicente FC (2),0-3,?,SL Benfica (2)
?,(Sat) 7 Sep 1996 (36),União de Leiria (2),0-3,?,FC Porto (2)
?,(Sat) 7 Sep 1996 (36),Vitória de Setúbal (2),4-0,?,Vitória de Guimarães (2)
?,(Sun) 8 Sep 1996 (36),Desportivo de Chaves (2),1-0,?,Leça FC (2)
?,(Sun) 8 Sep 1996 (36),CF Estrela da Amadora (2),0-0,?,Rio Ave FC (2)
?,(Sun) 8 Sep 1996 (36),SC Salgueiros (2),0-0,?,CS Marítimo (2)
?,(Sun) 8 Sep 1996 (36),SC Braga (2),3-1,?,Os Belenenses (2)
?,(Sat) 14 Sep 1996 (37),Rio Ave FC (3),3-4,?,Sporting CP (3)
?,(Sun) 15 Sep 1996 (37),Os Belenenses (3),0-0,?,Espinho (3)
?,(Sun) 15 Sep 1996 (37),SL Benfica (3),5-1,?,Vitória de Setúbal (3)
?,(Sun) 15 Sep 1996 (37),SC Farense (3),2-0,?,Boavista FC (3)
?,(Sun) 15 Sep 1996 (37),Vitória de Guimarães (3),3-0,?,União de Leiria (3)
?,(Sun) 15 Sep 1996 (37),Leça FC (3),3-1,?,SC Salgueiros (3)
?,(Sun) 15 Sep 1996 (37),CS Marítimo (3),2-0,?,CF Estrela da Amadora (3)
?,(Sun) 15 Sep 1996 (37),FC Porto (3),2-0,?,Desportivo de Chaves (3)
?,(Sun) 15 Sep 1996 (37),SC Braga (3),4-1,?,Gil Vicente FC (3)
?,(Fri) 20 Sep 1996 (38),Sporting CP (4),3-0,?,CS Marítimo (4)
?,(Sat) 21 Sep 1996 (38),Boavista FC (4),2-0,?,Rio Ave FC (4)
?,(Sat) 21 Sep 1996 (38),Desportivo de Chaves (4),0-0,?,Vitória de Guimarães (4)
?,(Sat) 21 Sep 1996 (38),SC Salgueiros (4),0-1,?,FC Porto (4)
?,(Sun) 22 Sep 1996 (38),Espinho (4),1-0,?,SC Farense (4)
?,(Sun) 22 Sep 1996 (38),CF Estrela da Amadora (4),1-0,?,Leça FC (4)
?,(Sun) 22 Sep 1996 (38),Gil Vicente FC (4),1-2,?,Os Belenenses (4)
?,(Sun) 22 Sep 1996 (38),União de Leiria (4),0-2,?,SL Benfica (4)
?,(Sun) 22 Sep 1996 (38),Vitória de Setúbal (4),1-1,?,SC Braga (4)
?,(Sat) 28 Sep 1996 (39),Leça FC (5),0-1,?,Sporting CP (5)
?,(Sun) 29 Sep 1996 (39),Os Belenenses (5),1-2,?,SC Farense (5)
?,(Sun) 29 Sep 1996 (39),Gil Vicente FC (5),0-0,?,Vitória de Setúbal (5)
?,(Sun) 29 Sep 1996 (39),Vitória de Guimarães (5),1-2,?,SC Salgueiros (5)
?,(Sun) 29 Sep 1996 (39),CS Marítimo (5),2-2,?,Boavista FC (5)
?,(Sun) 29 Sep 1996 (39),FC Porto (5),0-0,?,CF Estrela da Amadora (5)
?,(Sun) 29 Sep 1996 (39),Rio Ave FC (5),0-3,?,Espinho (5)
?,(Sun) 29 Sep 1996 (39),SC Braga (5),1-0,?,União de Leiria (5)
?,(Mon) 30 Sep 1996 (40),SL Benfica (5),3-0,?,Desportivo de Chaves (5)
?,(Fri) 11 Oct 1996 (41),Espinho (6),1-0,?,CS Marítimo (6)
?,(Sat) 12 Oct 1996 (41),Boavista FC (6),0-0,?,Leça FC (6)
?,(Sat) 12 Oct 1996 (41),CF Estrela da Amadora (6),2-0,?,Vitória de Guimarães (6)
?,(Sat) 12 Oct 1996 (41),Sporting CP (6),0-1,?,FC Porto (6)
?,(Sun) 13 Oct 1996 (41),Desportivo de Chaves (6),5-2,?,SC Braga (6)
?,(Sun) 13 Oct 1996 (41),SC Farense (6),2-1,?,Rio Ave FC (6)
?,(Sun) 13 Oct 1996 (41),União de Leiria (6),2-0,?,Gil Vicente FC (6)
?,(Sun) 13 Oct 1996 (41),SC Salgueiros (6),0-1,?,SL Benfica (6)
?,(Sun) 13 Oct 1996 (41),Vitória de Setúbal (6),2-0,?,Os Belenenses (6)
?,(Sun) 20 Oct 1996 (42),Os Belenenses (7),2-1,?,Rio Ave FC (7)
?,(Sun) 20 Oct 1996 (42),SL Benfica (7),2-0,?,CF Estrela da Amadora (7)
?,(Sun) 20 Oct 1996 (42),Gil Vicente FC (7),3-0,?,Desportivo de Chaves (7)
?,(Sun) 20 Oct 1996 (42),Vitória de Guimarães (7),0-1,?,Sporting CP (7)
?,(Sun) 20 Oct 1996 (42),Leça FC (7),1-1,?,Espinho (7)
?,(Sun) 20 Oct 1996 (42),CS Marítimo (7),1-0,?,SC Farense (7)
?,(Sun) 20 Oct 1996 (42),FC Porto (7),1-0,?,Boavista FC (7)
?,(Sun) 20 Oct 1996 (42),Vitória de Setúbal (7),4-1,?,União de Leiria (7)
?,(Sun) 20 Oct 1996 (42),SC Braga (7),0-0,?,SC Salgueiros (7)
?,(Sun) 27 Oct 1996 (43),Boavista FC (8),2-2,?,Vitória de Guimarães (8)
?,(Sun) 27 Oct 1996 (43),Desportivo de Chaves (8),0-1,?,Vitória de Setúbal (8)
?,(Sun) 27 Oct 1996 (43),Espinho (8),0-5,?,FC Porto (8)
?,(Sun) 27 Oct 1996 (43),CF Estrela da Amadora (8),3-1,?,SC Braga (8)
?,(Sun) 27 Oct 1996 (43),SC Farense (8),0-0,?,Leça FC (8)
?,(Sun) 27 Oct 1996 (43),União de Leiria (8),3-1,?,Os Belenenses (8)
