Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 13 Aug 2010 (W32),SC Braga (1),3-1,2-0,Portimonense SC (1)
?,(Sat) 14 Aug 2010 (W32),CS Marítimo (1),0-1,0-0,Vitória de Setúbal (1)
?,(Sat) 14 Aug 2010 (W32),Naval 1º de Maio (1),0-1,0-0,FC Porto (1)
?,(Sat) 14 Aug 2010 (W32),FC Paços de Ferreira (1),1-0,0-0,Sporting CP (1)
?,(Sun) 15 Aug 2010 (W32),SC Beira-Mar (1),0-0,0-0,União de Leiria (1)
?,(Sun) 15 Aug 2010 (W32),SL Benfica (1),1-2,0-1,Académica de Coimbra (1)
?,(Sun) 15 Aug 2010 (W32),Rio Ave FC (1),0-1,0-0,CD Nacional Madeira (1)
?,(Mon) 16 Aug 2010 (W33),SC Olhanense (1),0-0,0-0,Vitória de Guimarães (1)
?,(Fri) 20 Aug 2010 (W33),Académica de Coimbra (2),1-1,0-0,SC Olhanense (2)
?,(Sat) 21 Aug 2010 (W33),CD Nacional Madeira (2),2-1,0-0,SL Benfica (2)
?,(Sat) 21 Aug 2010 (W33),Vitória de Setúbal (2),0-0,0-0,SC Braga (2)
?,(Sun) 22 Aug 2010 (W33),União de Leiria (2),0-0,0-0,FC Paços de Ferreira (2)
?,(Sun) 22 Aug 2010 (W33),Portimonense SC (2),0-1,0-1,Naval 1º de Maio (2)
?,(Sun) 22 Aug 2010 (W33),FC Porto (2),3-0,2-0,SC Beira-Mar (2)
?,(Sun) 22 Aug 2010 (W33),Sporting CP (2),1-0,0-0,CS Marítimo (2)
?,(Mon) 23 Aug 2010 (W34),Vitória de Guimarães (2),0-0,0-0,Rio Ave FC (2)
?,(Sat) 28 Aug 2010 (W34),SL Benfica (3),3-0,2-0,Vitória de Setúbal (3)
?,(Sat) 28 Aug 2010 (W34),CD Nacional Madeira (3),1-3,0-0,Vitória de Guimarães (3)
?,(Sun) 29 Aug 2010 (W34),SC Beira-Mar (3),2-1,1-0,Académica de Coimbra (3)
?,(Sun) 29 Aug 2010 (W34),SC Olhanense (3),1-0,1-0,União de Leiria (3)
?,(Sun) 29 Aug 2010 (W34),FC Paços de Ferreira (3),2-2,0-1,Portimonense SC (3)
?,(Sun) 29 Aug 2010 (W34),Rio Ave FC (3),0-2,0-1,FC Porto (3)
?,(Sun) 29 Aug 2010 (W34),SC Braga (3),1-0,1-0,CS Marítimo (3)
?,(Mon) 30 Aug 2010 (W35),Naval 1º de Maio (3),1-3,0-1,Sporting CP (3)
?,(Fri) 10 Sep 2010 (W36),Vitória de Guimarães (4),2-1,1-1,SL Benfica (4)
?,(Sat) 11 Sep 2010 (W36),FC Porto (4),3-2,1-1,SC Braga (4)
?,(Sat) 11 Sep 2010 (W36),Sporting CP (4),0-0,0-0,SC Olhanense (4)
?,(Sun) 12 Sep 2010 (W36),Académica de Coimbra (4),3-0,1-0,Naval 1º de Maio (4)
?,(Sun) 12 Sep 2010 (W36),União de Leiria (4),2-1,0-0,CD Nacional Madeira (4)
?,(Sun) 12 Sep 2010 (W36),CS Marítimo (4),1-1,0-1,FC Paços de Ferreira (4)
?,(Sun) 12 Sep 2010 (W36),Portimonense SC (4),3-1,2-0,Rio Ave FC (4)
?,(Mon) 13 Sep 2010 (W37),Vitória de Setúbal (4),0-0,0-0,SC Beira-Mar (4)
?,(Fri) 17 Sep 2010 (W37),SC Olhanense (5),2-0,1-0,Portimonense SC (5)
?,(Sat) 18 Sep 2010 (W37),SC Beira-Mar (5),1-1,0-1,CS Marítimo (5)
?,(Sat) 18 Sep 2010 (W37),Vitória de Guimarães (5),1-0,0-0,União de Leiria (5)
?,(Sun) 19 Sep 2010 (W37),SL Benfica (5),2-0,1-0,Sporting CP (5)
?,(Sun) 19 Sep 2010 (W37),Naval 1º de Maio (5),0-0,0-0,Vitória de Setúbal (5)
?,(Sun) 19 Sep 2010 (W37),FC Paços de Ferreira (5),2-2,0-1,SC Braga (5)
?,(Sun) 19 Sep 2010 (W37),Rio Ave FC (5),2-2,1-0,Académica de Coimbra (5)
?,(Mon) 20 Sep 2010 (W38),CD Nacional Madeira (5),0-2,0-1,FC Porto (5)
?,(Fri) 24 Sep 2010 (W38),SC Braga (6),3-1,1-0,Naval 1º de Maio (6)
?,(Sat) 25 Sep 2010 (W38),Académica de Coimbra (6),3-1,0-0,Vitória de Guimarães (6)
?,(Sat) 25 Sep 2010 (W38),CS Marítimo (6),0-1,0-0,SL Benfica (6)
?,(Sat) 25 Sep 2010 (W38),FC Porto (6),2-0,2-0,SC Olhanense (6)
?,(Sun) 26 Sep 2010 (W38),União de Leiria (6),1-0,0-0,Rio Ave FC (6)
?,(Sun) 26 Sep 2010 (W38),Portimonense SC (6),1-0,0-0,SC Beira-Mar (6)
?,(Sun) 26 Sep 2010 (W38),Sporting CP (6),1-1,0-0,CD Nacional Madeira (6)
?,(Mon) 27 Sep 2010 (W39),Vitória de Setúbal (6),1-0,1-0,FC Paços de Ferreira (6)
?,(Fri) 1 Oct 2010 (W39),União de Leiria (7),2-1,0-1,Académica de Coimbra (7)
?,(Sat) 2 Oct 2010 (W39),SC Olhanense (7),3-1,2-0,Vitória de Setúbal (7)
?,(Sun) 3 Oct 2010 (W39),SL Benfica (7),1-0,0-0,SC Braga (7)
?,(Sun) 3 Oct 2010 (W39),CD Nacional Madeira (7),3-1,1-1,Portimonense SC (7)
?,(Sun) 3 Oct 2010 (W39),Naval 1º de Maio (7),1-2,1-0,FC Paços de Ferreira (7)
?,(Sun) 3 Oct 2010 (W39),Rio Ave FC (7),0-0,0-0,CS Marítimo (7)
?,(Mon) 4 Oct 2010 (W40),SC Beira-Mar (7),1-1,1-1,Sporting CP (7)
?,(Mon) 4 Oct 2010 (W40),Vitória de Guimarães (7),1-1,0-1,FC Porto (7)
?,(Fri) 22 Oct 2010 (W42),Académica de Coimbra (8),2-1,2-0,CD Nacional Madeira (8)
